"IP","IP_A","IP_B","IP_C","IP_D","IP_E","type","host","idp","refugees","age","female","disability","married","children","education","edu_primary","edu_secondary","edu_university","edu_no_completion","edu_no_education","edu_other","cva","safe","assafe","lesssafe","safer","parenting_better","relationship_better","worried","asworried","lessworried","moreworried","income","income2"
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.760823763153866,0,0,1,2,"Completed secondary school",0,1,0,0,0,0,"0","assafe",1,0,0,0,0,"moreworried",0,0,1,579.61,1.57787191727136
"A",1,0,0,0,0,"Host community HH",1,0,0,2.1948680385458,1,1,0,2,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"lessworried",0,1,0,356.31,0.00413506637009352
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.0852370656225145,0,0,1,2,"Completed secondary school",0,1,0,0,0,0,"0","safer",0,0,1,0,0,"moreworried",0,0,1,689.4,2.35163174199348
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.0852370656225145,0,0,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"asworried",1,0,0,347.65,-0.0568974510002825
"A",1,0,0,0,0,"Host community HH",1,0,0,0.928142980674512,0,0,0,3,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"lessworried",0,1,0,332.24,-0.16550150327251
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.929720437536703,0,0,0,1,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,1,"asworried",1,0,0,290.84,-0.457273584003868
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.591927088771028,0,0,0,1,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,1,"moreworried",0,0,1,323.45,-0.227450213166922
"A",1,0,0,0,0,"Host community HH",1,0,0,0.0836596087603232,0,0,1,5,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,1,"asworried",1,0,0,415.03,0.417972181842203
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.000788728431095666,0,1,1,6,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,296.04,-0.420625883042441
"A",1,0,0,0,0,"Host community HH",1,0,0,0.0836596087603232,0,0,1,6,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"lessworried",0,1,0,359.05,0.0234455857228453
"A",1,0,0,0,0,"Host community HH",1,0,0,0.33700462033458,0,1,1,4,"Did not complete primary school",0,0,0,1,0,0,"0","safer",0,0,1,0,0,"asworried",1,0,0,315.05,-0.286650345489226
"A",1,0,0,0,0,"Host community HH",1,0,0,0.505901294717418,0,0,1,8,"Did not complete primary school",0,0,0,1,0,0,"0","assafe",1,0,0,0,0,"asworried",1,0,0,351.55,-0.0294116752792123
"A",1,0,0,0,0,"Host community HH",1,0,0,1.51928134101444,0,0,1,1,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"moreworried",0,0,1,401.82,0.324872926130579
"A",1,0,0,0,0,"Host community HH",1,0,0,1.26593632944019,1,0,0,2,"Completed primary school",1,0,0,0,0,0,"1","lesssafe",0,1,0,0,0,"moreworried",0,0,1,504.15,1.04605739524265
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.000788728431095666,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"asworried",1,0,0,375.48,0.139238225491353
"A",1,0,0,0,0,"Host community HH",1,0,0,1.43483300382303,0,0,1,4,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,0,"lessworried",0,1,0,409.81,0.381183528184771
"A",1,0,0,0,0,"Host community HH",1,0,0,0.0836596087603232,0,0,1,3,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,1,"moreworried",0,0,1,382.58,0.189276432573301
"A",1,0,0,0,0,"Host community HH",1,0,0,1.7726263525887,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"asworried",1,0,0,423.77,0.479568509996601
"A",1,0,0,0,0,"Host community HH",1,0,0,1.43483300382303,0,0,1,3,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"moreworried",0,0,1,467.75,0.789523488512667
"A",1,0,0,0,0,"Host community HH",1,0,0,0.421452957525999,0,0,1,3,"Did not complete primary school",0,0,0,1,0,0,"0","lesssafe",0,1,0,1,1,"moreworried",0,0,1,392.3,0.257779442831967
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.760823763153866,0,0,1,3,"Did not complete primary school",0,0,0,1,0,0,"0","lesssafe",0,1,0,1,0,"moreworried",0,0,1,341.78,-0.098267067277893
"A",1,0,0,0,0,"Host community HH",1,0,0,0.252556283143161,0,0,1,2,"Did not complete primary school",0,0,0,1,0,0,"0","lesssafe",0,1,0,1,0,"lessworried",0,1,0,356.76,0.0073065020302169
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.000788728431095666,0,0,1,2,"Completed primary school",1,0,0,0,0,0,"0","safer",0,0,1,1,0,"lessworried",0,1,0,527.95,1.21379110348918
"A",1,0,0,0,0,"Host community HH",1,0,0,1.7726263525887,1,0,0,1,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"moreworried",0,0,1,386.07,0.213872678026258
"A",1,0,0,0,0,"Host community HH",1,0,0,1.60372967820586,0,0,1,1,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"asworried",1,0,0,479.6,0.873037960895918
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.0852370656225145,0,0,1,3,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,0,0,"lessworried",0,1,0,319.46,-0.255570276020016
"A",1,0,0,0,0,"Host community HH",1,0,0,0.0836596087603232,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,1,"moreworried",0,0,1,395.18,0.278076631056758
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.338582077196771,0,0,1,3,"Completed secondary school",0,1,0,0,0,0,"0","assafe",1,0,0,0,0,"lessworried",0,1,0,654.4,2.10496452398387
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,1.60372967820586,0,0,1,4,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,0,0,"lessworried",0,1,0,426.68,0.5000771272654
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,0.421452957525999,0,0,1,2,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"asworried",1,0,0,339.51,-0.114265198274516
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-1.18306544911096,1,0,1,3,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,0,"lessworried",0,1,0,265.97,-0.632548261486691
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,2.36376471292863,1,0,1,2,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,359.9,0.0294360753030783
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,1.26593632944019,1,0,0,2,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,0,"lessworried",0,1,0,291.66,-0.451494523467643
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,0.759246306291674,0,0,1,3,"Never attended school",0,0,0,0,1,0,"1","lesssafe",0,1,0,1,1,"asworried",1,0,0,335.3,-0.14393574078367
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,0.505901294717418,0,0,1,3,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,1,"moreworried",0,0,1,394.01,0.269830898340436
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,1.94152302697154,0,0,1,4,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,0,0,"lessworried",0,1,0,399.69,0.309861464005995
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-0.169685402813933,0,0,1,3,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,0,"asworried",1,0,0,312.08,-0.307581820846041
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-0.338582077196771,0,0,1,3,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,276.12,-0.561014768263907
"A",1,0,0,0,0,"Host community HH",1,0,0,0.590349631908836,0,0,1,4,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,0,"lessworried",0,1,0,411.71,0.394574034305292
"A",1,0,0,0,0,"Host community HH",1,0,0,1.68817801539728,1,0,0,2,"Never attended school",0,0,0,0,1,0,"1","lesssafe",0,1,0,0,0,"moreworried",0,0,1,357.21,0.0104779376903403
"A",1,0,0,0,0,"Host community HH",1,0,0,-1.18306544911096,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"moreworried",0,0,1,357.82,0.0147769949185077
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.676375425962447,0,0,1,2,"Completed primary school",1,0,0,0,0,0,"0","safer",0,0,1,0,0,"moreworried",0,0,1,470.89,0.811653061785528
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,1,0,0,2,"Never attended school",0,0,0,0,1,0,"1","assafe",1,0,0,0,0,"moreworried",0,0,1,350.15,-0.0392783639995967
"A",1,0,0,0,0,"Host community HH",1,0,0,0.252556283143161,1,0,0,1,"Never attended school",0,0,0,0,1,0,"1","assafe",1,0,0,0,1,"asworried",1,0,0,324.9,-0.217231142706524
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.254133740005352,0,0,1,2,"Completed primary school",1,0,0,0,0,0,"0","safer",0,0,1,1,0,"moreworried",0,0,1,505.66,1.05669932379107
"A",1,0,0,0,0,"Host community HH",1,0,0,0.33700462033458,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"moreworried",0,0,1,342.96,-0.0899508582135692
"A",1,0,0,0,0,"Host community HH",1,0,0,0.590349631908836,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,0,"lessworried",0,1,0,406.02,0.354472992291731
"A",1,0,0,0,0,"Host community HH",1,0,0,0.590349631908836,0,1,1,3,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,1,"lessworried",0,1,0,409.15,0.37653208921659
"A",1,0,0,0,0,"Host community HH",1,0,0,1.01259131786593,1,0,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,1,"lessworried",0,1,0,354.8,-0.00650686217832068
"A",1,0,0,0,0,"Host community HH",1,0,0,0.505901294717418,1,1,0,2,"Completed primary school",1,0,0,0,0,0,"1","safer",0,0,1,0,0,"lessworried",0,1,0,474.72,0.838645503070579
"A",1,0,0,0,0,"Host community HH",1,0,0,1.85707468978012,1,1,0,4,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,1,"lessworried",0,1,0,256.38,-0.700135079221322
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.254133740005352,0,0,1,1,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"moreworried",0,0,1,359.44,0.0261941632949522
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.591927088771028,1,0,1,2,"Completed primary school",1,0,0,0,0,0,"0","safer",0,0,1,1,0,"asworried",1,0,0,519.99,1.157691930479
"A",1,0,0,0,0,"Host community HH",1,0,0,1.01259131786593,0,0,1,4,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,399.56,0.308945271481959
"A",1,0,0,0,0,"Host community HH",1,0,0,0.0836596087603232,1,0,0,2,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,321.81,-0.239008334239372
"A",1,0,0,0,0,"Host community HH",1,0,0,1.60372967820586,0,0,1,1,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"lessworried",0,1,0,453.33,0.687896594692711
"A",1,0,0,0,0,"Host community HH",1,0,0,0.505901294717418,0,1,1,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,0,"moreworried",0,0,1,359.85,0.0290836935630649
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,0,1,1,3,"Completed secondary school",0,1,0,0,0,0,"0","safer",0,0,1,1,1,"asworried",1,0,0,631.35,1.94251654183755
"A",1,0,0,0,0,"Host community HH",1,0,0,0.928142980674512,0,1,1,3,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,1,"asworried",1,0,0,368.65,0.0911028798054788
"A",1,0,0,0,0,"Host community HH",1,0,0,0.928142980674512,1,1,0,1,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"lessworried",0,1,0,337.65,-0.127373799003026
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.507478751579609,0,0,1,1,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"asworried",1,0,0,363.57,0.0553008950200852
"A",1,0,0,0,0,"Host community HH",1,0,0,0.33700462033458,0,0,1,3,"Completed primary school",1,0,0,0,0,0,"0","assafe",1,0,0,1,1,"asworried",1,0,0,520.63,1.16220241675117
"A",1,0,0,0,0,"Host community HH",1,0,0,1.60372967820586,1,1,0,1,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,0,0,"lessworried",0,1,0,342.5,-0.0931927702216953
"A",1,0,0,0,0,"Host community HH",1,0,0,0.674797969100255,0,0,1,2,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,0,"lessworried",0,1,0,453.54,0.689376598000769
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,0,0,1,2,"Never attended school",0,0,0,0,1,0,"1","assafe",1,0,0,0,0,"moreworried",0,0,1,415.17,0.418958850714242
"A",1,0,0,0,0,"Host community HH",1,0,0,1.01259131786593,1,0,0,1,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,1,"moreworried",0,0,1,311.47,-0.311880878074208
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.000788728431095666,0,0,1,1,"Did not complete primary school",0,0,0,1,0,0,"0","safer",0,0,1,1,1,"moreworried",0,0,1,370.88,0.106819105410091
"A",1,0,0,0,0,"Host community HH",1,0,0,1.18148799224877,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"lessworried",0,1,0,369.49,0.0970228930377095
"A",1,0,0,0,0,"Host community HH",1,0,0,-1.01416877472812,0,0,1,1,"Never attended school",0,0,0,0,1,0,"1","assafe",1,0,0,1,0,"asworried",1,0,0,394.86,0.27582138792067
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.929720437536703,1,0,1,3,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,0,"moreworried",0,0,1,299.72,-0.394690586977432
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,1,0,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"lessworried",0,1,0,328.63,-0.190943464901501
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.169685402813933,0,0,1,1,"Never attended school",0,0,0,0,1,0,"1","lesssafe",0,1,0,1,0,"moreworried",0,0,1,331.57,-0.170223418588694
"A",1,0,0,0,0,"Host community HH",1,0,0,1.35038466663161,1,1,0,2,"Never attended school",0,0,0,0,1,0,"1","assafe",1,0,0,1,0,"asworried",1,0,0,267.43,-0.622258714678291
"A",1,0,0,0,0,"Host community HH",1,0,0,1.43483300382303,0,0,1,7,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"lessworried",0,1,0,341.84,-0.0978442091898765
"A",1,0,0,0,0,"Host community HH",1,0,0,1.94152302697154,0,0,1,4,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"asworried",1,0,0,361.51,0.0407827673315201
"A",1,0,0,0,0,"Host community HH",1,0,0,1.43483300382303,0,0,1,6,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,1,"asworried",1,0,0,345.48,-0.0721908185168776
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.169685402813933,1,0,0,5,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"lessworried",0,1,0,281.79,-0.521054678946351
"A",1,0,0,0,0,"Host community HH",1,0,0,0.252556283143161,0,0,0,3,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"lessworried",0,1,0,346.52,-0.0648612783245925
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.929720437536703,0,0,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"lessworried",0,1,0,242.23,-0.799859111645204
"A",1,0,0,0,0,"Host community HH",1,0,0,0.505901294717418,0,0,1,1,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"moreworried",0,0,1,442.26,0.609879277453674
"A",1,0,0,0,0,"Internally displaced HH",0,1,0,-0.760823763153866,0,0,1,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"lessworried",0,1,0,243.95,-0.787737179788732
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.000788728431095666,0,0,1,0,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,0,"asworried",1,0,0,408.1,0.369132072676302
"A",1,0,0,0,0,"Host community HH",1,0,0,2.27931637573721,1,0,0,1,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"moreworried",0,0,1,374.42,0.131767732603062
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,0,0,0,1,"Never attended school",0,0,0,0,1,0,"1","assafe",1,0,0,0,0,"asworried",1,0,0,298.8,-0.401174410993684
"A",1,0,0,0,0,"Host community HH",1,0,0,2.95490307326857,0,0,0,3,"Never attended school",0,0,0,0,1,0,"1","lesssafe",0,1,0,1,0,"lessworried",0,1,0,424.68,0.485981857664851
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.507478751579609,0,0,0,3,"Completed primary school",1,0,0,0,0,0,"0","lesssafe",0,1,0,1,0,"moreworried",0,0,1,418.7,0.44383700155921
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.0852370656225145,0,0,0,2,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,0,"lessworried",0,1,0,262.7,-0.655594027283588
"A",1,0,0,0,0,"Host community HH",1,0,0,0.252556283143161,1,0,0,5,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"asworried",1,0,0,271.67,-0.592376743125127
"A",1,0,0,0,0,"Host community HH",1,0,0,2.11041970135438,1,0,0,3,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"moreworried",0,0,1,384.36,0.201821222517789
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.42303041438819,1,0,0,3,"Completed primary school",1,0,0,0,0,0,"0","safer",0,0,1,0,0,"asworried",1,0,0,410.1,0.383227342276851
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.0852370656225145,0,0,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"lessworried",0,1,0,330.72,-0.176213908168927
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.0852370656225145,0,1,1,5,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,333.09,-0.159511013692277
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,0,1,1,6,"Never attended school",0,0,0,0,1,0,"1","assafe",1,0,0,0,0,"asworried",1,0,0,369.87,0.0997009942618137
"A",1,0,0,0,0,"Host community HH",1,0,0,0.33700462033458,0,0,1,6,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,1,"moreworried",0,0,1,437.71,0.577812539112425
"A",1,0,0,0,0,"Host community HH",1,0,0,1.43483300382303,0,0,1,6,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"moreworried",0,0,1,375.97,0.142691566543487
"A",1,0,0,0,0,"Host community HH",1,0,0,1.43483300382303,0,0,1,1,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,392.36,0.258202300919984
"A",1,0,0,0,0,"Host community HH",1,0,0,0.0836596087603232,0,0,1,7,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"lessworried",0,1,0,303.06,-0.371151486744516
"A",1,0,0,0,0,"Host community HH",1,0,0,1.18148799224877,0,0,1,7,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,1,"moreworried",0,0,1,405.81,0.352992988983674
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.42303041438819,0,0,1,4,"Did not complete primary school",0,0,0,1,0,0,"0","safer",0,0,1,1,0,"lessworried",0,1,0,341.16,-0.102636600854063
"A",1,0,0,0,0,"Host community HH",1,0,0,-1.18306544911096,1,0,1,4,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,243.28,-0.792459095104916
"A",1,0,0,0,0,"Host community HH",1,0,0,0.928142980674512,0,0,1,3,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"lessworried",0,1,0,453.86,0.691631841136856
"A",1,0,0,0,0,"Host community HH",1,0,0,0.421452957525999,0,0,1,4,"Never attended school",0,0,0,0,1,0,"1","lesssafe",0,1,0,1,1,"lessworried",0,1,0,410.08,0.383086389580845
"A",1,0,0,0,0,"Host community HH",1,0,0,1.94152302697154,0,1,1,3,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"moreworried",0,0,1,413.49,0.407118824249781
"A",1,0,0,0,0,"Host community HH",1,0,0,0.505901294717418,0,0,1,3,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,0,"lessworried",0,1,0,312.04,-0.307863726238052
"A",1,0,0,0,0,"Host community HH",1,0,0,3.71493810799134,1,1,0,2,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,0,0,"asworried",1,0,0,329.64,-0.183825353753224
"A",1,0,0,0,0,"Host community HH",1,0,0,1.26593632944019,0,0,1,4,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,1,0,"asworried",1,0,0,392.2,0.25707467935194
"A",1,0,0,0,0,"Host community HH",1,0,0,2.11041970135438,0,0,0,1,"Never attended school",0,0,0,0,1,0,"0","lesssafe",0,1,0,0,1,"lessworried",0,1,0,351.92,-0.0268040504031108
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.591927088771028,0,0,0,4,"Completed secondary school",0,1,0,0,0,0,"0","safer",0,0,1,1,0,"moreworried",0,0,1,504.19,1.04633930063466
"A",1,0,0,0,0,"Host community HH",1,0,0,-1.26751378630238,1,0,0,2,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,0,1,"moreworried",0,0,1,296.21,-0.419427785126395
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,0,1,1,3,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"moreworried",0,0,1,386.66,0.21803078255842
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.760823763153866,0,0,1,1,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,0,0,"asworried",1,0,0,365.82,0.0711580733207025
"A",1,0,0,0,0,"Host community HH",1,0,0,0.759246306291674,0,0,1,6,"Never attended school",0,0,0,0,1,0,"1","safer",0,0,1,1,1,"lessworried",0,1,0,379.69,0.168908768000508
"A",1,0,0,0,0,"Host community HH",1,0,0,-0.000788728431095666,1,0,0,8,"Never attended school",0,0,0,0,1,0,"0","safer",0,0,1,1,0,"moreworried",0,0,1,223.59,-0.931227024322318
"A",1,0,0,0,0,"Host community HH",1,0,0,2.61710972450289,0,1,1,5,"Never attended school",0,0,0,0,1,0,"0","assafe",1,0,0,1,1,"lessworried",0,1,0,362.75,0.0495218344838603
