"sno","IP","type","age","female","disability","married","education","children","cva","safe","parenting_better","relationship_better","worried","income"
33,"A","Host community HH",41,0,0,1,"Never attended school",2,1,"lesssafe",1,0,"asworried",423.99
34,"A","Host community HH",58,0,0,1,"Never attended school",4,1,"safer",1,0,"asworried",443.21
35,"A","Host community HH",40,1,0,1,"Never attended school",1,0,"lesssafe",0,0,"asworried",435.4
36,"A","Host community HH",40,0,0,1,"Completed primary school",-1,0,"safer",1,0,"moreworried",600.69
37,"A","Host community HH",58,0,0,1,"Never attended school",3,1,"safer",1,1,"asworried",449.05
38,"A","Host community HH",46,0,0,1,"Did not complete primary school",3,0,"assafe",1,1,"lessworried",409.21
39,"A","Host community HH",32,0,0,1,"Did not complete primary school",3,0,"safer",1,0,"moreworried",354.17
40,"A","Host community HH",31,0,0,1,"Completed secondary school",2,0,"assafe",0,1,"moreworried",717.68
41,"A","Host community HH",26,0,0,1,"Completed secondary school",-2,0,"assafe",1,0,"moreworried",669.98
42,"A","Host community HH",62,1,0,0,"Never attended school",1,0,"safer",0,1,"asworried",349.77
43,"A","Host community HH",48,1,0,1,"Never attended school",5,0,"assafe",0,0,"asworried",453.12
44,"A","Host community HH",40,0,0,1,"Never attended school",3,0,"lesssafe",1,0,"asworried",355.39
45,"A","Host community HH",38,0,0,1,"Completed primary school",2,0,"assafe",0,0,"moreworried",576.03
46,"A","Refugee HH",27,0,1,1,"Completed primary school",3,0,"lesssafe",1,1,"moreworried",423.34
47,"A","Internally displaced HH",60,0,0,1,"Never attended school",4,1,"safer",0,0,"lessworried",376.65
48,"A","Internally displaced HH",46,0,0,1,"Never attended school",2,0,"safer",1,1,"moreworried",331.11
49,"A","Internally displaced HH",27,1,0,1,"Never attended school",3,0,"assafe",1,0,"asworried",289.35
50,"A","Internally displaced HH",69,1,0,1,"Never attended school",2,1,"safer",1,1,"lessworried",377.21
51,"A","Internally displaced HH",56,1,0,0,"Never attended school",2,0,"lesssafe",1,0,"asworried",254.57
52,"A","Internally displaced HH",50,0,0,1,"Never attended school",3,0,"assafe",1,0,"asworried",394.28
53,"A","Internally displaced HH",47,0,0,1,"Never attended school",3,0,"assafe",0,0,"lessworried",298.46
54,"A","Internally displaced HH",64,0,0,1,"Never attended school",4,1,"safer",0,0,"lessworried",367.32
55,"A","Internally displaced HH",39,0,0,1,"Never attended school",3,0,"assafe",1,0,"lessworried",310.36
56,"A","Internally displaced HH",37,0,0,1,"Never attended school",3,1,"safer",1,1,"lessworried",317.55
57,"A","Host community HH",48,0,0,1,"Never attended school",4,0,"assafe",1,0,"asworried",400.92
58,"A","Host community HH",61,1,0,0,"Never attended school",2,1,"lesssafe",1,0,"moreworried",411.64
59,"A","Host community HH",27,0,0,1,"Never attended school",2,1,"lesssafe",1,1,"moreworried",472.08
60,"A","Host community HH",29,0,0,1,"Never attended school",-1,0,"assafe",0,1,"asworried",500.02
61,"A","Host community HH",50,1,0,0,"Never attended school",2,0,"safer",1,1,"moreworried",354.63
62,"A","Host community HH",30,0,0,0,"Never attended school",3,0,"safer",0,0,"asworried",400.34
63,"A","Host community HH",29,0,0,1,"Completed primary school",2,0,"safer",0,0,"moreworried",553.37
64,"A","Host community HH",41,0,0,1,"Did not complete primary school",1,0,"safer",1,1,"lessworried",484.76
65,"A","Host community HH",48,0,0,1,"Never attended school",2,0,"assafe",1,0,"lessworried",356.46
66,"A","Host community HH",30,0,0,1,"Completed secondary school",-1,0,"assafe",0,0,"lessworried",748.96
67,"A","Host community HH",53,1,0,0,"Never attended school",2,0,"safer",1,0,"moreworried",351.35
68,"A","Host community HH",47,1,1,0,"Completed primary school",2,1,"safer",0,0,"lessworried",477.99
69,"A","Host community HH",63,1,1,0,"Never attended school",0,1,"assafe",1,0,"moreworried",324.08
70,"A","Host community HH",39,1,0,1,"Did not complete primary school",0,0,"safer",1,0,"lessworried",450
71,"A","Host community HH",32,0,0,1,"Completed primary school",-2,0,"lesssafe",0,0,"moreworried",557.74
72,"A","Host community HH",53,0,0,1,"Never attended school",4,1,"safer",1,1,"lessworried",424.42
73,"A","Host community HH",42,1,0,0,"Never attended school",2,1,"safer",1,1,"lessworried",343.73
74,"A","Host community HH",60,0,0,1,"Never attended school",1,0,"safer",1,1,"asworried",456.32
75,"A","Host community HH",36,0,0,1,"Completed primary school",-3,0,"safer",1,0,"lessworried",616.71
76,"A","Host community HH",50,0,1,1,"Completed secondary school",3,0,"lesssafe",1,1,"moreworried",593.71
77,"A","Host community HH",52,0,1,1,"Never attended school",3,0,"safer",1,0,"asworried",356.35
78,"A","Host community HH",52,1,1,0,"Never attended school",1,0,"safer",0,0,"moreworried",258.29
79,"A","Host community HH",35,0,0,1,"Never attended school",1,0,"assafe",1,0,"lessworried",378.01
80,"A","Host community HH",44,0,0,1,"Never attended school",2,0,"lesssafe",1,0,"asworried",502.36
81,"A","Host community HH",60,1,1,0,"Never attended school",1,0,"lesssafe",0,0,"asworried",268.43
82,"A","Internally displaced HH",28,0,0,1,"Completed primary school",2,0,"assafe",1,0,"moreworried",518.53
83,"A","Host community HH",30,0,0,1,"Did not complete primary school",3,0,"assafe",0,0,"asworried",479.32
84,"A","Host community HH",53,1,0,0,"Never attended school",1,1,"assafe",0,0,"asworried",391.3
85,"A","Host community HH",40,0,0,1,"Never attended school",1,0,"lesssafe",0,1,"lessworried",407.19
86,"A","Host community HH",55,0,0,1,"Never attended school",2,0,"safer",1,0,"moreworried",377.34
87,"A","Host community HH",29,0,0,1,"Never attended school",1,1,"assafe",1,1,"asworried",352.27
88,"A","Host community HH",34,1,1,0,"Completed primary school",2,1,"lesssafe",0,1,"lessworried",446.39
89,"A","Host community HH",50,1,0,0,"Never attended school",2,1,"lesssafe",0,0,"lessworried",382.12
90,"A","Host community HH",26,0,1,1,"Completed secondary school",-1,0,"lesssafe",0,0,"lessworried",660.67
91,"A","Host community HH",31,0,1,0,"Completed primary school",0,0,"lesssafe",0,1,"lessworried",509.78
92,"A","Host community HH",33,0,0,1,"Completed secondary school",5,0,"safer",0,0,"lessworried",766.18
93,"A","Host community HH",64,0,0,1,"Never attended school",4,0,"assafe",1,1,"asworried",431.31
94,"A","Host community HH",44,1,0,1,"Completed primary school",6,0,"assafe",0,1,"moreworried",551.34
95,"A","Host community HH",39,1,0,0,"Never attended school",5,0,"assafe",1,0,"asworried",260.65
96,"A","Host community HH",25,0,1,0,"Completed primary school",5,0,"lesssafe",1,0,"moreworried",412.13
97,"A","Host community HH",30,0,0,0,"Never attended school",2,1,"safer",0,0,"moreworried",336.02
98,"A","Host community HH",49,0,0,1,"Did not complete primary school",2,0,"lesssafe",0,0,"moreworried",516.95
99,"A","Host community HH",40,0,0,1,"Completed primary school",5,0,"safer",0,0,"asworried",588.56
100,"A","Internally displaced HH",42,0,0,0,"Completed secondary school",2,0,"safer",1,1,"asworried",624.65
101,"A","Host community HH",40,0,0,0,"Completed primary school",1,0,"assafe",0,0,"moreworried",541.17
102,"A","Host community HH",34,1,1,0,"Completed primary school",1,0,"safer",0,0,"lessworried",485.69
103,"A","Internally displaced HH",48,0,0,0,"Completed primary school",1,0,"assafe",1,0,"lessworried",464.8
104,"A","Host community HH",60,1,0,0,"Completed secondary school",3,0,"safer",1,0,"asworried",696.04
105,"A","Host community HH",36,0,0,0,"Completed primary school",3,0,"lesssafe",0,1,"moreworried",526.46
106,"A","Host community HH",34,0,0,0,"Completed primary school",2,0,"assafe",0,1,"lessworried",573.27
107,"A","Host community HH",66,1,0,0,"Never attended school",3,1,"safer",1,0,"asworried",320.96
108,"A","Host community HH",43,1,1,0,"Completed primary school",0,0,"safer",0,0,"moreworried",575.87
109,"A","Host community HH",37,0,0,0,"Completed secondary school",-2,0,"assafe",0,0,"moreworried",665.02
110,"A","Host community HH",40,0,1,1,"Never attended school",5,1,"safer",1,1,"lessworried",393.31
111,"A","Host community HH",50,0,1,1,"Never attended school",6,1,"safer",1,1,"moreworried",367.43
112,"A","Host community HH",48,1,0,1,"Never attended school",5,0,"lesssafe",0,0,"moreworried",446.83
113,"A","Host community HH",58,0,0,1,"Never attended school",6,0,"safer",0,0,"moreworried",396.48
114,"A","Host community HH",58,0,0,1,"Never attended school",1,1,"safer",1,1,"lessworried",371.87
115,"A","Host community HH",42,0,0,1,"Never attended school",7,1,"assafe",0,0,"asworried",491.84
116,"A","Host community HH",55,0,0,1,"Never attended school",7,0,"lesssafe",0,1,"asworried",398.21
117,"A","Host community HH",32,0,0,1,"Completed secondary school",4,0,"safer",1,0,"moreworried",727.9
118,"A","Host community HH",27,1,0,1,"Never attended school",4,1,"safer",1,1,"lessworried",321.94
119,"A","Host community HH",37,1,0,1,"Completed secondary school",4,0,"safer",0,0,"asworried",668.86
120,"A","Host community HH",25,0,0,1,"Completed secondary school",2,0,"lesssafe",1,0,"asworried",742.51
121,"A","Host community HH",20,0,0,1,"Completed secondary school",0,0,"assafe",1,0,"moreworried",718.54
122,"A","Host community HH",37,1,0,1,"Completed primary school",3,0,"assafe",0,1,"lessworried",599.52
123,"A","Host community HH",29,0,0,0,"Completed primary school",2,0,"safer",0,0,"lessworried",503.25
124,"A","Host community HH",24,0,0,1,"Never attended school",1,0,"safer",1,0,"moreworried",389.09
125,"A","Host community HH",32,0,0,0,"Completed secondary school",2,0,"safer",1,0,"lessworried",638.65
126,"A","Host community HH",31,0,0,0,"Completed secondary school",2,0,"safer",0,0,"lessworried",715.59
127,"A","Host community HH",36,1,0,0,"Completed secondary school",3,0,"safer",0,0,"asworried",587.9
128,"A","Host community HH",23,0,0,1,"Completed primary school",2,0,"safer",1,0,"moreworried",613.97
129,"A","Host community HH",47,0,0,1,"Completed secondary school",2,0,"safer",1,0,"lessworried",733.84
130,"A","Host community HH",50,0,0,1,"Never attended school",6,1,"safer",1,1,"lessworried",360.85
131,"A","Host community HH",41,1,0,0,"Never attended school",8,0,"assafe",0,0,"asworried",233.59
132,"A","Host community HH",72,0,1,1,"Never attended school",5,0,"safer",1,0,"asworried",414.06
133,"A","Host community HH",58,0,1,1,"Did not complete primary school",5,0,"lesssafe",1,0,"lessworried",360.23
134,"A","Internally displaced HH",59,0,0,1,"Did not complete primary school",3,1,"safer",1,0,"lessworried",291.57
135,"A","Host community HH",58,0,0,0,"Completed secondary school",2,0,"assafe",0,0,"lessworried",713.07
136,"A","Host community HH",64,0,0,1,"Never attended school",3,1,"safer",0,0,"lessworried",518.94
137,"A","Host community HH",25,0,0,1,"Completed secondary school",3,0,"lesssafe",1,0,"moreworried",678.91
138,"A","Host community HH",45,0,0,0,"Completed primary school",4,0,"lesssafe",0,0,"lessworried",500.72
139,"A","Host community HH",56,0,0,1,"Never attended school",4,0,"assafe",1,0,"lessworried",380.49
140,"A","Host community HH",31,1,0,1,"Did not complete primary school",1,0,"safer",0,0,"moreworried",460.5
141,"A","Host community HH",37,0,0,1,"Never attended school",3,0,"assafe",1,0,"asworried",348.22
142,"A","Host community HH",41,0,0,1,"Never attended school",3,0,"lesssafe",0,0,"moreworried",402.31
143,"A","Internally displaced HH",46,0,0,1,"Never attended school",3,1,"safer",0,0,"lessworried",280.53
144,"A","Host community HH",48,0,0,1,"Never attended school",3,0,"safer",1,0,"asworried",395.45
145,"A","Host community HH",40,0,0,1,"Never attended school",3,1,"safer",1,0,"lessworried",450.49
146,"A","Host community HH",26,1,0,1,"Completed secondary school",3,0,"lesssafe",0,1,"moreworried",640.88
147,"A","Host community HH",48,0,0,1,"Never attended school",2,0,"assafe",0,1,"moreworried",450.55
148,"A","Host community HH",25,0,0,1,"Completed primary school",7,0,"lesssafe",0,0,"moreworried",521.82
149,"A","Host community HH",38,0,0,1,"Never attended school",2,0,"lesssafe",1,0,"moreworried",347.48
150,"A","Host community HH",39,1,0,0,"Did not complete primary school",0,1,"safer",1,1,"asworried",302.32
151,"A","Host community HH",30,0,0,1,"Completed secondary school",2,0,"safer",0,0,"lessworried",727.73
152,"A","Host community HH",16,0,1,1,"Did not complete primary school",1,0,"assafe",0,1,"moreworried",341.77
153,"A","Host community HH",29,0,0,1,"Completed secondary school",2,0,"safer",1,0,"moreworried",655.84
154,"A","Host community HH",22,1,0,0,"Completed primary school",0,0,"lesssafe",1,0,"moreworried",473.11
155,"A","Host community HH",50,0,0,1,"Never attended school",3,0,"safer",1,0,"asworried",332.4
156,"A","Host community HH",52,0,0,1,"Never attended school",2,1,"safer",1,1,"lessworried",406.66
157,"A","Host community HH",41,0,0,1,"Completed secondary school",4,0,"assafe",1,0,"moreworried",795.55
158,"A","Host community HH",30,0,0,1,"Completed secondary school",0,0,"safer",1,1,"moreworried",717.94
159,"A","Host community HH",22,0,0,1,"Completed university or beyond",1,0,"assafe",1,0,"asworried",1178.73
160,"A","Internally displaced HH",41,1,0,0,"Never attended school",3,0,"assafe",1,0,"asworried",164.77
161,"A","Internally displaced HH",38,1,0,1,"Never attended school",4,0,"assafe",1,0,"asworried",186.53
162,"A","Internally displaced HH",70,0,0,1,"Did not complete primary school",1,0,"safer",0,0,"lessworried",417.24
163,"A","Host community HH",36,0,0,1,"Never attended school",3,0,"safer",1,0,"moreworried",461.27
164,"A","Host community HH",38,0,0,1,"Completed secondary school",2,0,"safer",0,1,"asworried",784.91
165,"A","Internally displaced HH",45,1,0,1,"Never attended school",4,0,"assafe",1,0,"moreworried",316.99
166,"A","Host community HH",60,0,0,0,"Completed secondary school",2,0,"assafe",0,0,"moreworried",653.26
167,"A","Internally displaced HH",38,0,0,1,"Never attended school",2,1,"safer",0,0,"moreworried",371.25
168,"A","Internally displaced HH",40,1,0,0,"Never attended school",2,1,"safer",1,1,"lessworried",222.59
169,"A","Host community HH",43,1,0,1,"Completed university or beyond",3,0,"assafe",1,0,"asworried",1167.56
170,"A","Internally displaced HH",40,0,0,1,"Never attended school",2,0,"lesssafe",0,0,"asworried",308.35
171,"A","Host community HH",31,0,0,1,"Did not complete primary school",4,0,"lesssafe",0,0,"lessworried",321.02
172,"A","Host community HH",49,0,0,1,"Completed primary school",4,0,"safer",0,0,"lessworried",582.78
173,"A","Internally displaced HH",36,0,0,1,"Never attended school",2,1,"safer",1,1,"moreworried",324.48
174,"A","Host community HH",70,0,0,0,"Never attended school",3,1,"assafe",0,0,"lessworried",435.64
175,"A","Host community HH",35,0,0,1,"Never attended school",3,0,"assafe",1,0,"moreworried",299.4
176,"A","Host community HH",2,1,0,1,"Completed secondary school",0,0,"assafe",1,0,"moreworried",684.19
177,"A","Internally displaced HH",53,0,0,1,"Did not complete primary school",4,0,"safer",0,0,"asworried",474.93
178,"A","Host community HH",48,0,0,1,"Completed secondary school",3,0,"safer",0,0,"moreworried",737.75
179,"A","Host community HH",42,0,0,1,"Never attended school",4,1,"safer",0,0,"asworried",344.62
180,"A","Host community HH",42,0,0,0,"Completed secondary school",3,0,"safer",1,0,"moreworried",716.95
181,"A","Host community HH",30,0,0,1,"Never attended school",2,1,"assafe",1,0,"lessworried",452.46
182,"A","Host community HH",32,1,0,1,"Never attended school",2,0,"assafe",0,0,"moreworried",389.8
183,"A","Host community HH",30,0,0,1,"Completed university or beyond",1,0,"safer",1,0,"asworried",1174.74
184,"A","Host community HH",36,0,0,1,"Did not complete primary school",1,0,"assafe",1,0,"asworried",419.32
185,"A","Internally displaced HH",73,0,1,1,"Did not complete primary school",7,1,"safer",1,1,"lessworried",344.4
186,"A","Host community HH",29,0,0,1,"Completed secondary school",2,0,"safer",0,1,"asworried",727.29
187,"A","Host community HH",64,0,0,1,"Completed primary school",4,0,"lesssafe",0,0,"lessworried",496.99
188,"A","Host community HH",41,0,0,1,"Completed secondary school",2,0,"assafe",0,0,"asworried",697.39
189,"A","Internally displaced HH",53,0,0,1,"Never attended school",5,0,"assafe",1,1,"lessworried",307.21
190,"A","Internally displaced HH",37,0,0,1,"Never attended school",3,1,"assafe",1,0,"lessworried",303.39
191,"A","Internally displaced HH",51,0,0,1,"Never attended school",4,1,"safer",1,1,"lessworried",354.34
192,"A","Host community HH",36,0,1,1,"Completed secondary school",0,0,"lesssafe",0,0,"lessworried",688.44
193,"A","Host community HH",25,0,0,1,"Completed university or beyond",1,0,"safer",1,1,"lessworried",1087.63
194,"A","Internally displaced HH",32,0,0,1,"Completed primary school",2,0,"safer",1,0,"asworried",457.12
195,"A","Internally displaced HH",54,0,1,1,"Never attended school",2,1,"lesssafe",1,0,"lessworried",335.93
196,"A","Host community HH",41,1,0,1,"Completed primary school",-2,0,"lesssafe",0,0,"moreworried",608.07
197,"A","Host community HH",26,0,0,1,"Completed primary school",6,0,"lesssafe",0,0,"lessworried",593.48
198,"A","Host community HH",44,0,0,0,"Completed secondary school",1,0,"safer",0,0,"lessworried",715.16
199,"A","Host community HH",43,1,0,1,"Completed primary school",4,0,"assafe",0,0,"lessworried",570.54
200,"A","Host community HH",27,1,0,1,"Completed primary school",1,0,"safer",0,0,"lessworried",564.65
201,"A","Host community HH",52,1,0,0,"Never attended school",1,0,"lesssafe",1,0,"lessworried",292.5
202,"A","Host community HH",53,0,0,1,"Never attended school",2,1,"lesssafe",1,0,"moreworried",360.27
203,"A","Host community HH",34,0,0,1,"Completed secondary school",-3,0,"lesssafe",1,0,"moreworried",730.6
204,"A","Host community HH",41,1,0,1,"Completed university or beyond",7,0,"safer",0,0,"asworried",1138.33
205,"A","Host community HH",37,0,0,1,"Did not complete primary school",2,0,"safer",0,0,"asworried",439.86
206,"A","Host community HH",27,1,0,0,"Completed primary school",5,1,"assafe",1,1,"moreworried",329.96
207,"A","Host community HH",35,0,0,1,"Never attended school",1,0,"safer",0,0,"lessworried",315.95
208,"A","Host community HH",28,0,0,1,"Never attended school",3,0,"assafe",0,0,"moreworried",389.75
209,"A","Host community HH",49,0,0,1,"Completed secondary school",4,0,"safer",1,0,"moreworried",708.59
210,"A","Host community HH",48,0,1,1,"Never attended school",3,0,"assafe",0,1,"lessworried",348.54
211,"A","Host community HH",27,0,0,0,"Never attended school",2,0,"safer",1,0,"moreworried",274.28
212,"A","Host community HH",65,0,1,1,"Never attended school",5,0,"safer",0,0,"lessworried",443.07
213,"A","Host community HH",31,0,0,1,"Never attended school",4,1,"safer",1,1,"lessworried",380.95
214,"A","Host community HH",47,0,0,0,"Completed secondary school",1,0,"safer",1,0,"lessworried",773.19
215,"A","Host community HH",46,0,0,1,"Never attended school",3,0,"safer",1,0,"asworried",419.82
216,"A","Host community HH",44,0,0,1,"Completed primary school",-1,0,"assafe",0,1,"lessworried",563.92
217,"A","Host community HH",39,1,1,0,"Never attended school",5,1,"assafe",0,0,"lessworried",280.79
218,"A","Host community HH",36,0,0,1,"Completed primary school",1,0,"assafe",1,1,"moreworried",605.33
219,"A","Host community HH",37,0,0,1,"Completed secondary school",-1,0,"safer",1,0,"asworried",716.2
220,"A","Host community HH",47,1,0,0,"Completed primary school",0,0,"safer",0,0,"asworried",531.97
221,"A","Host community HH",37,0,0,0,"Completed primary school",3,0,"safer",1,0,"asworried",531.35
222,"A","Internally displaced HH",23,0,0,0,"Never attended school",3,0,"safer",1,1,"asworried",131.34
223,"A","Internally displaced HH",39,0,0,0,"Never attended school",1,1,"lesssafe",1,0,"moreworried",208.03
224,"A","Internally displaced HH",50,0,0,0,"Never attended school",4,1,"safer",0,0,"lessworried",273.01
225,"A","Host community HH",40,0,0,0,"Completed primary school",5,0,"safer",1,0,"lessworried",544.81
226,"A","Host community HH",31,0,0,1,"Did not complete primary school",1,0,"safer",0,0,"lessworried",497.11
227,"A","Host community HH",37,0,0,0,"Completed secondary school",5,0,"safer",1,0,"asworried",575.03
228,"A","Host community HH",32,1,0,1,"Never attended school",1,0,"lesssafe",1,0,"lessworried",425.57
229,"A","Host community HH",32,0,1,0,"Never attended school",2,1,"safer",1,1,"asworried",262.97
230,"A","Host community HH",23,0,0,0,"Never attended school",1,1,"safer",0,0,"lessworried",294.47
231,"A","Host community HH",47,0,0,1,"Completed university or beyond",4,0,"safer",1,0,"moreworried",1234.23
232,"A","Host community HH",30,0,0,1,"Completed secondary school",-2,0,"safer",1,0,"asworried",795.25
233,"A","Host community HH",46,0,0,0,"Completed secondary school",2,0,"lesssafe",1,0,"lessworried",683.91
234,"A","Host community HH",32,0,0,0,"Completed primary school",5,0,"lesssafe",0,0,"lessworried",510.92
235,"A","Refugee HH",48,0,0,0,"Completed secondary school",0,0,"safer",1,0,"lessworried",551.77
236,"A","Host community HH",34,0,0,0,"Completed secondary school",5,0,"assafe",0,0,"asworried",748.7
237,"A","Host community HH",46,0,0,0,"Never attended school",3,0,"safer",0,0,"lessworried",329.14
238,"A","Host community HH",53,0,0,0,"Never attended school",4,1,"lesssafe",0,1,"lessworried",403.66
239,"A","Host community HH",27,0,0,0,"Completed secondary school",0,0,"safer",1,0,"moreworried",671.82
240,"A","Host community HH",34,1,0,1,"Never attended school",2,1,"lesssafe",1,0,"asworried",324.91
241,"A","Internally displaced HH",35,0,0,0,"Completed primary school",0,0,"safer",1,1,"moreworried",470.72
242,"A","Host community HH",46,0,0,0,"Never attended school",2,0,"safer",1,0,"moreworried",288.4
243,"A","Host community HH",54,1,0,0,"Never attended school",4,0,"safer",1,0,"asworried",326.81
244,"A","Host community HH",35,0,0,0,"Completed primary school",-1,0,"assafe",1,0,"lessworried",553.04
245,"A","Host community HH",47,0,0,0,"Never attended school",4,0,"assafe",1,1,"asworried",294.6
246,"A","Host community HH",28,0,0,0,"Never attended school",3,1,"safer",1,1,"lessworried",271.4
247,"A","Host community HH",34,1,0,0,"Completed primary school",2,0,"safer",1,0,"lessworried",506.11
248,"A","Host community HH",36,0,0,0,"Never attended school",1,1,"lesssafe",0,0,"lessworried",351.81
249,"A","Host community HH",40,0,0,1,"Completed primary school",-1,0,"assafe",1,0,"moreworried",611.65
250,"A","Host community HH",46,0,0,0,"Completed primary school",-2,0,"lesssafe",1,0,"lessworried",642
251,"A","Host community HH",46,0,0,1,"Completed secondary school",4,0,"safer",0,0,"moreworried",718.43
252,"A","Internally displaced HH",36,0,0,1,"Completed secondary school",2,0,"assafe",1,0,"lessworried",630.38
253,"A","Host community HH",56,0,0,1,"Never attended school",2,1,"safer",1,1,"lessworried",413.22
254,"A","Host community HH",30,0,0,1,"Completed primary school",4,0,"assafe",0,1,"asworried",656.96
255,"A","Internally displaced HH",48,0,0,1,"Did not complete primary school",2,0,"safer",0,0,"moreworried",298.29
256,"A","Host community HH",51,0,0,1,"Completed primary school",4,0,"lesssafe",0,0,"moreworried",661.38
257,"A","Host community HH",50,1,0,1,"Completed secondary school",0,0,"lesssafe",1,1,"moreworried",701.39
258,"A","Host community HH",36,0,0,1,"Completed secondary school",2,0,"lesssafe",0,0,"lessworried",772.13
259,"A","Host community HH",50,1,0,1,"Completed primary school",2,0,"lesssafe",0,0,"moreworried",609.26
260,"A","Host community HH",42,0,0,1,"Did not complete primary school",1,0,"safer",0,0,"asworried",456.89
261,"A","Internally displaced HH",50,0,0,1,"Never attended school",2,1,"lesssafe",1,0,"asworried",370.4
262,"A","Host community HH",37,0,0,0,"Completed primary school",2,0,"assafe",1,0,"asworried",574.29
263,"A","Internally displaced HH",62,1,1,0,"Completed primary school",2,1,"safer",1,1,"lessworried",430.76
264,"A","Internally displaced HH",60,0,0,1,"Never attended school",4,0,"safer",1,0,"lessworried",349.41
265,"A","Internally displaced HH",64,0,0,1,"Never attended school",3,0,"safer",0,0,"moreworried",341.34
266,"A","Host community HH",50,1,0,1,"Completed primary school",4,0,"lesssafe",1,0,"asworried",531.41
267,"A","Internally displaced HH",27,0,0,1,"Never attended school",1,0,"safer",0,0,"asworried",236.16
268,"A","Host community HH",54,0,0,0,"Completed university or beyond",-1,0,"safer",0,0,"asworried",1146.71
269,"A","Internally displaced HH",61,0,0,0,"Never attended school",4,0,"assafe",0,0,"asworried",312.49
270,"A","Host community HH",33,0,0,1,"Completed primary school",6,0,"assafe",0,0,"asworried",545.56
271,"A","Internally displaced HH",33,0,0,1,"Never attended school",2,1,"lesssafe",1,0,"lessworried",333.71
272,"A","Host community HH",28,1,0,1,"Completed secondary school",2,0,"safer",1,0,"lessworried",706.71
273,"A","Internally displaced HH",59,0,0,1,"Did not complete primary school",3,1,"safer",0,0,"lessworried",413.27
274,"A","Internally displaced HH",56,0,0,1,"Never attended school",2,0,"lesssafe",1,0,"lessworried",404.19
275,"A","Internally displaced HH",46,0,0,1,"Never attended school",9,0,"lesssafe",1,1,"lessworried",270.78
276,"A","Host community HH",31,0,0,1,"Completed primary school",-1,0,"lesssafe",0,0,"asworried",573.87
